N,D,M,F,H,RH,T,RT,RO,,,,,,PF,DPF,MCF,ECS
1,32,2.06,72,50.343,0.8,0.365,0.1,0.507,,,,,,1.29,0.65,0.33,47.35
1,50,7.4,120,100.236,1.13,0.393,0.11,0.437,,,,,,1.47,0.84,0.39,95.9
1,32,1.38,72,30.261,0.35,0.398,0.16,0.455,,,,,,1.73,0.46,0.41,28.14
1,50,6.66,120,99.989,1.54,0.416,0.16,0.484,,,,,,1.81,0.62,0.43,95.89
1,50,6.82,120,100.274,0.75,0.37,0.13,0.474,,,,,,1.3,0.63,0.43,95.36
1,50,6.91,120,100.202,0.9,0.393,0.1,0.467,,,,,,1.74,0.58,0.44,96.16
1,32,3.86,72,100.366,0.15,0.338,0.09,0.54,,,,,,1.75,0.69,0.44,95.88
1,32,3.92,72,100.584,0.17,0.339,0.14,0.533,,,,,,1.75,0.77,0.46,94.9
1,32,2.18,72,50.202,0.68,0.409,0.1,0.478,,,,,,1.33,0.78,0.47,46.93
1,32,1.35,72,30.292,0.16,0.393,0.14,0.466,,,,,,1.87,0.56,0.47,28.1
1,50,3.11,120,49.94,0.35,0.373,0.09,0.518,,,,,,1.95,0.58,0.47,47.7
1,32,1.3,72,30.423,0.7,0.372,0.14,0.486,,,,,,1.52,1.11,0.48,28.72
1,50,2.14,120,29.933,0.58,0.4,0.12,0.451,,,,,,2.33,0.57,0.5,27.83
1,50,2.23,120,30.002,0.6,0.434,0.11,0.434,,,,,,2.13,0.66,0.5,28.03
1,32,2.39,72,50.762,0.93,0.442,0.12,0.441,,,,,,1.09,1.79,0.52,46.22
1,40,2,120,30.239,0.26,0.422,0.09,0.435,,,,,,3.2,0.44,0.55,28.04
1,50,2.2,120,30,0.59,0.417,0.11,0.44,,,,,,2.75,0.55,0.58,28.17
1,40,3.73,120,49.971,0.63,0.455,0.09,0.385,,,,,,2.42,1.02,0.64,46.99
